"","Species","UniqueID","Plot","Plot2","Major_taxa","Order","Mass_g","Productivity_g_yr","Growth_rate_per_yr","Trophic","Group","Family","Genus","Reference","Notes","Notes_measure","X","X.1","GBIF_ID"
"126","Peromyscus maniculatus",1531,1,9,"Mammal","Rodentia",19,19.57,1.03,"Omnivore","Eutherian","Muridae","Peromyscus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2437967"
"127","Phoca vitulina",467,1,2,"Mammal","Carnivora",59882.5106,7066.136251,0.118,"Carnivore","Eutherian","Phocidae","Phoca","Harwood and Rohani 1996; after Duncan et al. 2007, method: count","","",NA,NA,"2434793"
"128","Phoca vitulina",471,1,2,"Mammal","Carnivora",74167,17800.08,0.24,"Carnivore","Eutherian","Phocidae","Phoca","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2434793"
"129","Phyllotis darwini",1547,1,9,"Mammal","Rodentia",47.02188121,141.0656436,3,"Omnivore","Eutherian","Muridae","Phyllotis","Jimenez et al. 1992; after Duncan et al. 2007, method: count","","",NA,NA,"5219758"
"130","Pteronura brasiliensis",485,1,2,"Mammal","Carnivora",24000,6000,0.25,"Carnivore","Eutherian","Mustelidae","Pteronura","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2433681"
"131","Puma concolor",489,1,2,"Mammal","Carnivora",39600,13464,0.34,"Carnivore","Eutherian","Felidae","Puma","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2435099"
"132","Rangifer tarandus",193,1,1,"Mammal","Artiodactyla",113005.609,42942.13142,0.38,"Herbivore","Eutherian","Cervidae","Rangifer","Caughley and Krebs 1983; after Duncan et al. 2007, method: count","","",NA,NA,"5220114"
"133","Rangifer tarandus",194,1,1,"Mammal","Artiodactyla",113005.609,33901.6827,0.3,"Herbivore","Eutherian","Cervidae","Rangifer","Skogland 1985; after Duncan et al. 2007, method: count","","",NA,NA,"5220114"
"134","Rangifer tarandus",195,1,1,"Mammal","Artiodactyla",113005.609,32771.62661,0.29,"Herbivore","Eutherian","Cervidae","Rangifer","Bergerud et al. 1983; after Duncan et al. 2007, method: count","","",NA,NA,"5220114"
"135","Rangifer tarandus",196,1,1,"Mammal","Artiodactyla",113005.609,26104.29568,0.231,"Herbivore","Eutherian","Cervidae","Rangifer","Caughley and Gunn 1993; after Duncan et al. 2007, method: count","","",NA,NA,"5220114"
"136","Rangifer tarandus",197,1,1,"Mammal","Artiodactyla",113005.609,27573.3686,0.244,"Herbivore","Eutherian","Cervidae","Rangifer","Heard and Ouellet 1994; after Duncan et al. 2007, method: count","","",NA,NA,"5220114"
"137","Rangifer tarandus",199,1,1,"Mammal","Artiodactyla",113005.609,53112.63623,0.47,"Herbivore","Eutherian","Cervidae","Rangifer","Scheffer 1951; after Duncan et al. 2007, method: count","","",NA,NA,"5220114"
"138","Rangifer tarandus",200,1,1,"Mammal","Artiodactyla",113005.609,57632.86059,0.51,"Herbivore","Eutherian","Cervidae","Rangifer","Scheffer 1951; after Duncan et al. 2007, method: count","","",NA,NA,"5220114"
"139","Rattus norvegicus",1562,1,9,"Mammal","Rodentia",248,42.16,0.17,"Omnivore","Eutherian","Muridae","Rattus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2439261"
"140","Reithrodontomys megalotis",1572,1,9,"Mammal","Rodentia",13,16.25,1.25,"Omnivore","Eutherian","Muridae","Reithrodontomys","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2437874"
"141","Rhinolophus megaphyllus",690,1,2,"Mammal","Chiroptera",11.00018528,12.65021307,1.15,"Carnivore","Eutherian","Rhinolophidae","Rhinolophus","Young 2001; after Duncan et al. 2007, method: count","","",NA,NA,"2432622"
"142","Rupicapra pyrenaica",211,1,1,"Mammal","Artiodactyla",23999.37877,5903.847177,0.246,"Herbivore","Eutherian","Bovidae","Rupicapra","Loison et al. 2002; after Duncan et al. 2007, method: count","","",NA,NA,"5220171"
"143","Sciurus vulgaris",1594,1,1,"Mammal","Rodentia",376,278.24,0.74,"Herbivore","Eutherian","Sciuridae","Sciurus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"8211070"
"144","Sorex araneus",955,1,2,"Mammal","Eulipotyphla",8.072350302,62.15709733,7.7,"Carnivore","Eutherian","Soricidae","Sorex","Hannson 1987; after Duncan et al. 2007, method: count","","",NA,NA,"8316400"
"145","Sorex araneus",956,1,2,"Mammal","Eulipotyphla",8.072350302,43.59069163,5.4,"Carnivore","Eutherian","Soricidae","Sorex","Marcstrom et al. 1990; after Duncan et al. 2007, method: count","","",NA,NA,"8316400"
"146","Sorex cinereus",959,1,2,"Mammal","Eulipotyphla",4,2.64,0.66,"Carnivore","Eutherian","Soricidae","Sorex","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2435964"
"147","Stenella attenuata",589,1,2,"Mammal","Cetacea",112500,2250,0.02,"Carnivore","Eutherian","Delphinidae","Stenella","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5220050"
"148","Sus scrofa",216,1,1,"Mammal","Artiodactyla",93497.50031,74050.02025,0.792,"Herbivore","Eutherian","Suidae","Sus","Choquenot 1998; after Duncan et al. 2007, method: count","African ecosystems","",NA,NA,"7705930"
"149","Syncerus caffer",223,1,1,"Mammal","Artiodactyla",476540.7017,138196.8035,0.29,"Herbivore","Eutherian","Bovidae","Syncerus","Sinclair 1996; after Duncan et al. 2007, method: count","African ecosystems","",NA,NA,"2441034"
"150","Syncerus caffer",225,1,1,"Mammal","Artiodactyla",488750,229712.5,0.47,"Herbivore","Eutherian","Bovidae","Syncerus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","African ecosystems","",NA,NA,"2441034"
