"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","CombAll","CombPlot2","CombOrder","CombSpecies","Density_Nm2","Trophic","Group","GBIF_ID"
"408","Ovibos moschatus",923,1,1,"Mammal","Artiodactyla",250000,5.0108000004e-05,5.91387495376067e-05,8.30817916299787e-05,5.0108000004e-05,3.6e-07,"Herbivore","Eutherian","2441108"
"409","Ovis canadensis",924,1,1,"Mammal","Artiodactyla",75900,0.00019265232,0.000116152885008287,0.000158765691023015,0.00019265232,1.68e-06,"Herbivore","Eutherian","2441119"
"410","Ovis dalli",138,1,1,"Mammal","Artiodactyla",50000,2.96400513982367e-05,2.18938201637699e-05,2.96400513982367e-05,NA,4.2875e-07,"Herbivore","Eutherian","2441118"
"411","Oxymycterus rutilans",2558,1,9,"Mammal","Rodentia",85,0.000312969047408924,0.000291103837555218,0.000312969047408924,NA,0.00062,"Omnivore","Eutherian","8551838"
"412","Pan paniscus",2234,1,9,"Mammal","Primate",22700,0.00011828514344417,6.78575042429567e-05,0.00011828514344417,NA,4e-06,"Omnivore","Eutherian","5219533"
"413","Pan troglodytes",188,1,9,"Mammal","Primate",45000,0.00010895125,5.65939731778072e-05,0.00010856969928219,0.00010895125,2.15e-06,"Omnivore","Eutherian","5219534"
"414","Panthera leo",68,1,2,"Mammal","Carnivora",126533.333333333,1.27087933189665e-05,1.38654427449792e-05,1.6021349113527e-05,1.27087933189665e-05,1.34389777777778e-07,"Carnivore","Eutherian","5219404"
"415","Panthera onca",1666,1,2,"Mammal","Carnivora",68750,6.240833333e-06,6.57328671491054e-06,7.49867171250988e-06,6.240833333e-06,1e-07,"Carnivore","Eutherian","5219426"
"416","Panthera pardus",69,1,2,"Mammal","Carnivora",37119.2,3.06587086437231e-06,2.72253360593156e-06,3.06587086437231e-06,NA,6.53133304e-08,"Carnivore","Eutherian","5219436"
"417","Panthera tigris",70,1,2,"Mammal","Carnivora",149775.280898876,7.992805638887e-06,6.97933842825155e-06,8.09314905493053e-06,7.992805638887e-06,5.97208449438202e-08,"Carnivore","Eutherian","5219416"
"418","Papio anubis",189,1,9,"Mammal","Primate",14871.9333333333,6.21981651766101e-05,3.78579797684554e-05,6.21981651766101e-05,NA,2.92771133333333e-06,"Omnivore","Eutherian","5707341"
"419","Papio cynocephalus",2252,1,9,"Mammal","Primate",17500,9.65103153355427e-05,5.74195400672827e-05,9.65103153355427e-05,NA,4e-06,"Omnivore","Eutherian","7262027"
"420","Papio hamadryas",2253,1,1,"Mammal","Primate",13900,3.7971e-05,3.62882847165988e-05,3.62717131410486e-05,3.7971e-05,1.8e-06,"Herbivore","Eutherian","5219586"
"421","Papio papio",2254,1,1,"Mammal","Primate",19500,0.000328227578170827,0.000322210976519067,0.000328227578170827,NA,1.25e-05,"Herbivore","Eutherian","5707338"
"422","Papio ursinus",2255,1,9,"Mammal","Primate",18600,5.82029433423767e-05,3.43340027095747e-05,5.82029433423767e-05,NA,2.3e-06,"Omnivore","Eutherian","7262029"
"423","Pekania pennanti",1615,1,2,"Mammal","Carnivora",3250,1.73283137816317e-06,1.61952521734076e-06,1.73283137816317e-06,NA,2.35e-07,"Carnivore","Eutherian","8631083"
"424","Pelea capreolus",929,1,1,"Mammal","Artiodactyla",24000,0.000227803616474827,0.000171133353183258,0.000227803616474827,NA,5.71e-06,"Herbivore","Eutherian","5220184"
"425","Pelomys fallax",139,1,1,"Mammal","Rodentia",88.5,0.000490396759257274,0.000485073487257945,0.000490396759257274,NA,0.0009455,"Herbivore","Eutherian","2438685"
"426","Perodicticus potto",2256,1,1,"Mammal","Primate",1150,1.7478e-05,2.97149040189621e-05,2.58324864240286e-05,1.7478e-05,9e-06,"Herbivore","Eutherian","2436624"
"427","Perodictus potto",2257,1,9,"Mammal","Primate",1150,1.49254366005498e-05,1.29999190510817e-05,1.49254366005498e-05,NA,5.2e-06,"Omnivore","Eutherian","4827458"
"428","Perognathus flavus",2561,1,1,"Mammal","Rodentia",7.4,2.8518e-05,2.48928572828611e-05,2.8774727963995e-05,2.8518e-05,0.000294,"Herbivore","Eutherian","2439566"
"429","Perognathus intermedius",2562,1,1,"Mammal","Rodentia",17.5,8.37727913385544e-05,7.59192748060129e-05,8.37727913385544e-05,NA,0.00048,"Herbivore","Eutherian","2439590"
"430","Perognathus longimembris",2563,1,1,"Mammal","Rodentia",7.5,1.1294444492e-05,1.82967283770399e-05,2.1134653050471e-05,1.1294444492e-05,0.000214,"Herbivore","Eutherian","2439563"
"431","Perognathus parvus",2564,1,1,"Mammal","Rodentia",20,0.0004752,0.000517570382703235,0.000567007478257403,0.0004752,0.00297,"Herbivore","Eutherian","2439554"
"432","Perognathus penicillatus",2565,1,1,"Mammal","Rodentia",15,0.000110304066736484,9.91346465013417e-05,0.000110304066736484,NA,0.000701,"Herbivore","Eutherian","2439592"
"433","Peromyscus boylii",2566,1,9,"Mammal","Rodentia",28,0.00017712500013,0.00013464821891682,0.000140018765267468,0.00017712500013,0.000585,"Omnivore","Eutherian","2438038"
"434","Peromyscus californicus",2567,1,9,"Mammal","Rodentia",42,0.00127893,0.00143031221879836,0.00150556398383271,0.00127893,0.00479,"Omnivore","Eutherian","2438028"
"435","Peromyscus eremicus",2568,1,9,"Mammal","Rodentia",23,5.0689e-05,5.94382729446294e-05,6.14453336206586e-05,5.0689e-05,0.000293,"Omnivore","Eutherian","2437981"
"436","Peromyscus gossypinus",2569,1,9,"Mammal","Rodentia",35,0.0009558333354,0.00123513357728864,0.00129302481331237,0.0009558333354,0.00465,"Omnivore","Eutherian","2437988"
"437","Peromyscus leucopus",2570,1,9,"Mammal","Rodentia",21,0.00037274999958,0.000361656172940932,0.000372849315968626,0.00037274999958,0.00189,"Omnivore","Eutherian","2438019"
"438","Peromyscus maniculatus",2571,1,9,"Mammal","Rodentia",20,0.00022966666702,0.000196578679476872,0.000202366305371329,0.00022966666702,0.00106,"Omnivore","Eutherian","2437967"
"439","Peromyscus polionotus",2572,1,9,"Mammal","Rodentia",15,0.00012422222176,0.000160344186456974,0.000163646546941432,0.00012422222176,0.00104,"Omnivore","Eutherian","2437996"
"440","Peromyscus truei",2573,1,9,"Mammal","Rodentia",24,0.00136615,0.000927737088784652,0.000960289423978971,0.00136615,0.00445,"Omnivore","Eutherian","2437985"
"441","Petauroides volans",1971,1,1,"Mammal","Diprotodontia",1250,0.000263986111148,0.000291138709138639,0.000223430635025396,0.000263986111148,8.3e-05,"Herbivore","Marsupial","2440068"
"442","Phacochoerus aethiopicus",930,1,1,"Mammal","Artiodactyla",60900,0.000104176074983975,7.66021037578097e-05,0.000104176074983975,NA,1.3e-06,"Herbivore","Eutherian","2441211"
"443","Phacochoerus africanus",140,1,1,"Mammal","Artiodactyla",57000,4.24701183548604e-05,3.1276435646418e-05,4.24701183548604e-05,NA,5.5691243902439e-07,"Herbivore","Eutherian","2441212"
"444","Phaner furcifer",2258,1,1,"Mammal","Primate",425,0.000889532674599804,0.00108188058281346,0.000889532674599804,NA,0.000675,"Herbivore","Eutherian","2436443"
"445","Phascolarctos cinereus",1972,1,1,"Mammal","Diprotodontia",11000,0.0005744,0.00170104686813407,0.00125260423785853,0.0005744,1e-04,"Herbivore","Marsupial","2440012"
"446","Philander opossum",203,1,9,"Mammal","Didelphimorphia",369,0.0001583297,0.000101162817962256,9.7211452369269e-05,0.0001583297,8.395e-05,"Omnivore","Marsupial","5219950"
"447","Phyllotis darwini",2574,1,9,"Mammal","Rodentia",52,0.00136197,0.00140076972105189,0.00148394476265772,0.00136197,0.00409,"Omnivore","Eutherian","5219758"
"448","Phyllotis osilae",2575,1,9,"Mammal","Rodentia",39,0.000129785246370233,0.000123572689246479,0.000129785246370233,NA,0.000434,"Omnivore","Eutherian","5219756"
"449","Phyllotis pictus",2576,1,9,"Mammal","Rodentia",44,8.52896098010242e-05,8.09136248683772e-05,8.52896098010242e-05,NA,0.000263,"Omnivore","Eutherian","2438117"
"450","Pithecia hirsuta",2259,1,9,"Mammal","Primate",1800,0.000152796130464116,0.000124992946767909,0.000152796130464116,NA,3.75e-05,"Omnivore","Eutherian","8674990"
"451","Pithecia monachus",2260,1,9,"Mammal","Primate",1800,2.07802737431198e-05,1.69990407604356e-05,2.07802737431198e-05,NA,5.1e-06,"Omnivore","Eutherian","2436375"
"452","Pithecia pithecia",141,1,1,"Mammal","Primate",1416.5,7.61826192427802e-05,8.66153715554638e-05,7.61826192427802e-05,NA,2.255e-05,"Herbivore","Eutherian","2436373"
"453","Poiana richardsoni",1882,1,9,"Mammal","Carnivora",600,3.67556868134773e-06,2.96356801372379e-06,3.67556868134773e-06,NA,1.8e-06,"Omnivore","Eutherian","2434629"
"454","Pongo pygmaeus",2263,1,1,"Mammal","Primate",53000,0.000114781452156586,0.000106541661991078,0.000114781452156586,NA,2e-06,"Herbivore","Eutherian","5219532"
"455","Potamochoerus larvatus",142,1,1,"Mammal","Artiodactyla",70000,1.68719226462295e-05,1.23664835699315e-05,1.68719226462295e-05,NA,1.89688e-07,"Herbivore","Eutherian","2441226"
"456","Potamochoerus porcus",143,1,1,"Mammal","Artiodactyla",66600,0.000144387098418202,0.000105951567398604,0.000144387098418202,NA,1.685e-06,"Herbivore","Eutherian","2441225"
"457","Potorous tridactylus",1973,1,1,"Mammal","Diprotodontia",1360,5.00976e-05,7.30921116751979e-05,5.60037783187593e-05,5.00976e-05,1.96e-05,"Herbivore","Marsupial","2440019"
"458","Potos flavus",190,1,9,"Mammal","Carnivora",2490,8.20727777864e-05,7.96399542077558e-05,0.000116834289186049,8.20727777864e-05,1.94e-05,"Omnivore","Eutherian","2433573"
"459","Praomys delectorum",2577,1,1,"Mammal","Rodentia",75,0.000548435217570175,0.000537654955661576,0.000548435217570175,NA,0.0011818,"Herbivore","Eutherian","2438472"
"460","Praomys erythroleucus",2578,1,1,"Mammal","Rodentia",53,0.000321927199033988,0.000309737349567881,0.000321927199033988,NA,0.000876,"Herbivore","Eutherian","12323206"
"461","Praomys jacksoni",2579,1,1,"Mammal","Rodentia",43,0.00059585779066979,0.000566858846134879,0.00059585779066979,NA,0.001866,"Herbivore","Eutherian","2438475"
"462","Praomys natalensis",144,1,1,"Mammal","Rodentia",46,0.000153197889839716,0.000146273857975803,0.000153197889839716,NA,0.0004585,"Herbivore","Eutherian","12314767"
"463","Praomys tullbergi",145,1,1,"Mammal","Rodentia",38,0.000529553135685054,0.000500429459542857,0.000529553135685054,NA,0.001802,"Herbivore","Eutherian","2438479"
"464","Presbytis aygula",2264,1,9,"Mammal","Primate",6250,0.000312776532516305,0.000214942482208069,0.000312776532516305,NA,2.9e-05,"Omnivore","Eutherian","8530868"
"465","Presbytis cristatus",2265,1,9,"Mammal","Primate",8350,0.00202912159137752,0.00133900829428046,0.00202912159137752,NA,0.00015,"Omnivore","Eutherian","9090332"
"466","Presbytis entellus",2266,1,9,"Mammal","Primate",12800,0.00107688924877699,0.000669380331175953,0.00107688924877699,NA,5.7e-05,"Omnivore","Eutherian","9029331"
"467","Presbytis johni",2267,1,9,"Mammal","Primate",8150,0.00142025725668728,0.000940407866575125,0.00142025725668728,NA,0.000107,"Omnivore","Eutherian","12171203"
"468","Presbytis melalophos",2268,1,9,"Mammal","Primate",6300,0.000455818123917675,0.000312892543763122,0.000455818123917675,NA,4.2e-05,"Omnivore","Eutherian","5219561"
"469","Presbytis obscurus",2269,1,9,"Mammal","Primate",8350,0.000446406750103054,0.000294581824741702,0.000446406750103054,NA,3.3e-05,"Omnivore","Eutherian","8812426"
"470","Presbytis rubicunda",2270,1,9,"Mammal","Primate",6300,0.000123722062206226,8.4927976164276e-05,0.000123722062206226,NA,1.14e-05,"Omnivore","Eutherian","5219560"
"471","Presbytis senex",2271,1,9,"Mammal","Primate",8150,0.00204410857504524,0.00135348421918289,0.00204410857504524,NA,0.000154,"Omnivore","Eutherian","12254229"
"472","Priodontes maximus",2658,1,9,"Mammal","Xenarthra",39400,6.755555556e-06,9.66802704493127e-06,7.45015305258872e-06,6.755555556e-06,4e-07,"Omnivore","Eutherian","5220096"
"473","Procolobus verus",2272,1,1,"Mammal","Primate",3950,0.000108482431323755,0.000116454740985832,0.000108482431323755,NA,1.44e-05,"Herbivore","Eutherian","2436597"
"474","Procyon cancrivorus",191,1,9,"Mammal","Carnivora",8575,1.41046e-05,4.94882508197691e-05,8.40062361922771e-05,1.41046e-05,5.45e-06,"Omnivore","Eutherian","9518324"
"475","Procyon lotor",192,1,9,"Mammal","Carnivora",9775,6.98676e-05,6.61757782399976e-05,0.000114082920858482,6.98676e-05,6.7e-06,"Omnivore","Eutherian","5218786"
"476","Proechimys guyannensis",2584,1,9,"Mammal","Rodentia",316,0.00129311087827143,0.00115630995115774,0.00129311087827143,NA,0.00106,"Omnivore","Eutherian","4262966"
"477","Proechimys semispinosus",2585,1,9,"Mammal","Rodentia",800,0.00102025,0.00115457358512088,0.00132765491157404,0.00102025,0.000583,"Omnivore","Eutherian","2439789"
"478","Proechimys spp.",2586,1,9,"Mammal","Rodentia",477,0.000538146665050216,0.000475307002172201,0.000538146665050216,NA,0.0003345,"Omnivore","Eutherian","8060485"
"479","Profelis aurata",1889,1,2,"Mammal","Carnivora",10000,3.46487109981247e-06,3.16277315802806e-06,3.46487109981247e-06,NA,2e-07,"Carnivore","Eutherian","5219401"
"480","Propithecus verreauxi",2273,1,9,"Mammal","Primate",3600,0.00065415,0.000910235029846365,0.00122609633290066,0.00065415,0.000175,"Omnivore","Eutherian","5219530"
"481","Proteles cristatus",2587,1,2,"Mammal","Rodentia",8000,8.02560747696507e-06,1.00573325955422e-05,8.02560747696507e-06,NA,7.5e-07,"Carnivore","Eutherian","2433502"
"482","Psammomys obesus",2588,1,1,"Mammal","Rodentia",70,3.50004118410187e-05,3.41848326835491e-05,3.50004118410187e-05,NA,7.9e-05,"Herbivore","Eutherian","5219747"
"483","Pseudocheirus peregrinus",1974,1,1,"Mammal","Diprotodontia",872,0.000197916666625,0.000337590464641829,0.000260858153718275,0.000197916666625,0.000125,"Herbivore","Marsupial","2440062"
"484","Rangifer tarandus",146,1,1,"Mammal","Artiodactyla",91111.1111111111,0.000119407384444444,7.87764076312405e-05,0.000108130300252561,0.000119407384444444,9.97888888888889e-07,"Herbivore","Eutherian","5220114"
