,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Productivity_g_yr,Trophic,Group,rmax
2295,4,6,Fish,Osteoglossiformes,Mormyrops deliciosus,1500,804.2763158,,Piscivore,0.536184211
2296,4,6,Fish,Osteoglossiformes,Mormyrus longirostris,2900,1508.943089,,Benthivore,0.520325203
1711,4,6,Fish,Perciformes,Cichlasoma tetracanthus,830,540.4651163,,Piscivore,0.651162791
2299,4,6,Fish,Perciformes,Etheostoma flabellare,1.23,2.379435,,,1.9345
2300,4,6,Fish,Perciformes,Etheostoma spectabile,0.538,1.394227,,,2.5915
2301,4,6,Fish,Perciformes,Haplochromis darlingi,6,13.73684211,,,2.289473685
350,4,6,Fish,Perciformes,Lepomis macrochirus,278,274.0717391,,Planktivore,0.985869565
417,4,6,Fish,Perciformes,Micropterus salmoides,2923,1976.656056,,Piscivore,0.676242236
520,4,6,Fish,Perciformes,Perca flavescens,150,378.6585366,,,2.524390244
521,4,6,Fish,Perciformes,Perca fluviatilis,310,847.9411765,,,2.735294118
2320,4,6,Fish,Perciformes,Philypnodon breviceps,8,14.47861692,,Planktivore,1.809827115
2321,4,6,Fish,Perciformes,Sargochromis codringtoni,440,440,,,1
2322,4,6,Fish,Perciformes,Sarotherodon alcalicum,17,41.79617834,,Planktivore,2.458598726
2323,4,6,Fish,Perciformes,Sarotherodon mossambicus,350,289.6383866,,,0.827538247
2324,4,6,Fish,Perciformes,Stizostedion vitreum,2110,763.9655172,,Piscivore,0.362068965
2325,4,6,Fish,Perciformes,Thunnus alalunga,33165,92500,,,2.789084879
2326,4,6,Fish,Perciformes,Tilapia nilotica,1000,1440.540541,,Planktivore,1.440540541
2327,4,6,Fish,Perciformes,Tilapia rendalli,1180,1362.729659,,Planktivore,1.154855643
2328,4,6,Fish,Pleuronectiformes,Hippoglossoides platessoides,277,111.2155,,,0.4015
2329,4,6,Fish,Pristiformes,Pristis perotteti,325050,67000,,,0.206122135
2330,4,6,Fish,Rajiformes,Amblyraja radiata,2337.5,739,,,0.316149733
2331,4,6,Fish,Rajiformes,Dipturus batis,53405,18800,,,0.352026964
2332,4,6,Fish,Rajiformes,Raja binoculata,50050,40500,,,0.809190809
2333,4,6,Fish,Rajiformes,Raja brachyura,7865,5450,,,0.69294342
2334,4,6,Fish,Rajiformes,Raja clavata,9900,2310,,,0.233333333
2335,4,6,Fish,Rajiformes,Raja microocellata,2475,1660,,,0.670707071
2336,4,6,Fish,Rhinobatiformes,Rhinobatos productus,5362.5,1820,,,0.339393939
18610,4,6,Fish,Salmoniformes,Coregonus clupeaformis,1127,349.9153226,,Planktivore,0.310483871
2345,4,6,Fish,Salmoniformes,Coregonus muksun,620,251.4089347,,Planktivore,0.405498282
2346,4,6,Fish,Salmoniformes,Coregonus pilea,280,255,,Planktivore,0.910714286
4771,4,6,Fish,Salmoniformes,Oncorhynchus nerka,125,305.9440559,,Planktivore,2.447552447
2350,4,6,Fish,Salmoniformes,Salmo gairdneri,156,124.2926829,,Piscivore,0.796747967
6151,4,6,Fish,Salmoniformes,Salmo trutta,820,919.8717949,,,1.121794872
2353,4,6,Fish,Salmoniformes,Salvelinus alpinus,570,10.96153846,,Planktivore,0.019230769
616,4,6,Fish,Salmoniformes,Salvelinus fontinalis,1600,1066.666667,,Piscivore,0.666666667
2361,4,6,Fish,Salmoniformes,Salvelinus malma,500,351.3513514,,Piscivore,0.702702703
2362,4,6,Fish,Scorpaeniformes,Cottus asper,110,121.3402062,,Piscivore,1.103092784
2363,4,6,Fish,Siluriformes,Clarias gariepinus,2700,1194.084507,,,0.442253521
2364,4,6,Fish,Siluriformes,Eutropius depressirostris,85,81.53061224,,Piscivore,0.959183673
2365,4,6,Fish,Siluriformes,Heterobranchus longifilis,4200,2503.846154,,,0.596153846
2366,4,6,Fish,Siluriformes,Malapterurus electricus,2800,3019.277108,,,1.078313253
2367,4,6,Fish,Siluriformes,Schilbe mystus,53,35.33333333,,Piscivore,0.666666667
2368,4,6,Fish,Siluriformes,Synodontis nebulosus,35,35,,,1
2369,4,6,Fish,Siluriformes,Synodontis zambezensis,440,395.443038,,,0.898734177
2370,4,6,Fish,Squaliformes,Etmopterus spinax,467.5,111,,,0.237433155
2371,4,6,Fish,Squaliformes,Squalus acanthias,5005,649,,,0.12967033
2372,4,6,Fish,Torpediniformes,Torpedo marmorata,1650,291,,,0.176363636
1951,4,5,Invertebrate,Amphipoda,Crangonyx gracilis,0.026230103,0.166801519,,Benthos,6.359163706
1952,4,5,Invertebrate,Amphipoda,Crangonyx richmondensis,0.039994475,0.07606765,,Benthos,1.901953957
1953,4,5,Invertebrate,Amphipoda,Hyalella azteca,0.01,0.039536662,,Benthos,3.9536662
258,4,5,Invertebrate,Anostraca,Eubranchipus vernalis,7e-05,0.00365365,,Zooplankton,52.195
507,4,5,Invertebrate,Anostraca,Parartemia zietziana,0.040003685,0.800202677,,Benthos,20.00322413
1959,4,5,Invertebrate,Architaenioglossa,Bellamya ,1.049542429,6.086953723,,Benthos,5.799626156
1960,4,5,Invertebrate,Arhynchobdellida,Erpobdella octoculata,0.120005182,0.365174127,,Benthos,3.042986319
1961,4,5,Invertebrate,Arhynchobdellida,Erpobdella testacea,0.260015956,0.336511569,,Benthos,1.294195842
6071,4,5,Invertebrate,Bdelloidea,Rotatoria ,8.94e-07,5.98e-05,,Zooplankton,66.89038031
58,4,5,Invertebrate,Calanoida,Arctodiaptomus laticeps,1e-04,0.000285693,,Zooplankton,2.85693
1970,4,5,Invertebrate,Calanoida,Argyrodiaptomus furcatus,0.00148013,0.108267972,,Zooplankton,73.14761001
1971,4,5,Invertebrate,Calanoida,Calamoecia lucasi,1.2e-05,0.000141286,,Zooplankton,11.77383333
227,4,5,Invertebrate,Calanoida,Diaptomidae ,0.000284119,0.004979664,,Zooplankton,17.52668424
228,4,5,Invertebrate,Calanoida,Diaptomus gracilis,0.000284119,0.007792916,,Zooplankton,27.4283522
1976,4,5,Invertebrate,Calanoida,Eudiaptomus gracilis,0.000200032,0.002000322,,Zooplankton,10.00001
1977,4,5,Invertebrate,Calanoida,Eudiaptomus graciloides,0.000200032,0.001394119,,Zooplankton,6.969479883
1978,4,5,Invertebrate,Calanoida,Leptodiaptomus sicilis,0.000220039,0.00057783,,Zooplankton,2.626034476
1979,4,5,Invertebrate,Calanoida,Lovenula africana,0.00150003,0.025124649,,Zooplankton,16.74943101
1980,4,5,Invertebrate,Calanoida,Mixodiaptomus lacianatus,0.000110002,0.000150487,,Benthos,1.368038763
1981,4,5,Invertebrate,Calanoida,Roeckella dilatata,8.67e-05,0.000601312,,Zooplankton,6.935547866
1982,4,5,Invertebrate,Cladocera,Bosmina coregoni,4.23e-05,0.00110535,,Zooplankton,26.13120567
1983,4,5,Invertebrate,Cladocera,Bosmina fatalis,4.58e-05,0.001878019,,Zooplankton,41.00478166
983,4,5,Invertebrate,Cladocera,Bosmina longirostris,4.58e-05,0.002468312,,Zooplankton,53.89327511
1986,4,5,Invertebrate,Cladocera,Bosmina longispina,0.000120005,0.003614099,,Zooplankton,30.11623682
156,4,5,Invertebrate,Cladocera,Ceriodaphnia dubia,3.355e-05,0.003183895,,Zooplankton,94.9
1991,4,5,Invertebrate,Cladocera,Ceriodaphnia lacustris,3.81e-05,0.002134027,,Zooplankton,56.01120735
170,4,5,Invertebrate,Cladocera,Chydorus sphaericus,3e-05,0.0029346,,Zooplankton,97.82
1996,4,5,Invertebrate,Cladocera,Daphnia cucullata,0.000327944,0.013049684,,Zooplankton,39.79241578
2117,4,5,Invertebrate,Cladocera,Daphnia hyalina,0.00139991,0.073147586,,Zooplankton,52.25163475
1999,4,5,Invertebrate,Cladocera,Daphnia longispina,0.000299985,0.000430725,,Zooplankton,1.435821791
2121,4,5,Invertebrate,Cladocera,Daphnia magna,0.000885,0.0891549,,Zooplankton,100.74
2004,4,5,Invertebrate,Cladocera,Daphnia retrocurva,8.4e-05,0.001875426,,Zooplankton,22.3265
2005,4,5,Invertebrate,Cladocera,Daphnia spp.,0.000327944,0.014507748,,Zooplankton,44.23849194
2006,4,5,Invertebrate,Cladocera,Holopedium gibberum,0.000395367,0.024054703,,Zooplankton,60.84145364
2007,4,5,Invertebrate,Coleoptera,Calandra orzyae,0.0033,0.132495,,Insect,40.15
2008,4,5,Invertebrate,Coleoptera,Callosobruchus rhodesianus,0.0027,0.09855,,Insect,36.5
2009,4,5,Invertebrate,Coleoptera,Cryptolestes ferrugineus,7e-04,0.033215,,Insect,47.45
2010,4,5,Invertebrate,Coleoptera,Hyperaspis notataCC,0.0025,0.1095,,Insect,43.8
2011,4,5,Invertebrate,Coleoptera,Nephaspis oculatus,0.000233333,0.00511,,Insect,21.90003129
2012,4,5,Invertebrate,Coleoptera,Oryzaephilus surinamensis,0.0014,0.06643,,Insect,47.45
2013,4,5,Invertebrate,Coleoptera,Pterohalaeus alternatus,0.136,1.4892,,Insect,10.95
2014,4,5,Invertebrate,Coleoptera,Pterohelaeus darlingensis,0.136,2.482,,Insect,18.25
2015,4,5,Invertebrate,Coleoptera,Ptinus tectus,0.002566667,0.046841667,,Insect,18.24999776
2016,4,5,Invertebrate,Coleoptera,Rhizopertha dominica,0.0016,0.06424,,Insect,40.15
2017,4,5,Invertebrate,Coleoptera,Sitophilus oryzae,0.0012,0.0438,,Insect,36.5
2018,4,5,Invertebrate,Coleoptera,Stethorus punctillum,5e-04,0.031025,,Insect,62.05
2019,4,5,Invertebrate,Coleoptera,Tribolium castaneum,0.002466667,0.396146667,,Insect,160.5999784
2020,4,5,Invertebrate,Collembola,Paronychiurus kimi,0.0042,0.13797,,Insect,32.85
2021,4,5,Invertebrate,Cyclopoida,Acanthocyclops robustus,0.000110002,0.010289636,,Zooplankton,93.54044472
200,4,5,Invertebrate,Cyclopoida,Cyclopidae ,0.000110002,0.00199159,,Zooplankton,18.10503445
201,4,5,Invertebrate,Cyclopoida,Cyclops scutifer,0.000110002,0.002361022,,Zooplankton,21.46344612
2027,4,5,Invertebrate,Cyclopoida,Cyclops vicinus,4.8e-05,0.00099426,,Zooplankton,20.71375
2028,4,5,Invertebrate,Cyclopoida,Diacyclops thomasi,6.4e-05,0.000980167,,Zooplankton,15.31510938
4141,4,5,Invertebrate,Cyclopoida,Mesocyclops leuckarti,2.5e-05,0.001484568,,Zooplankton,59.38272
2032,4,5,Invertebrate,Cyclopoida,Mesocyclops oithonoides,2.5e-05,0.000342926,,Zooplankton,13.71704
2033,4,5,Invertebrate,Cyclopoida,Thermocyclops hyalinus,1.6e-05,0.000641062,,Zooplankton,40.066375
2034,4,5,Invertebrate,Cyclopoida,Tropocyclops pracinus,3.4e-05,0.000184162,,Zooplankton,5.416529412
2035,4,5,Invertebrate,Decapoda,Caridina nilotica,0.000200032,0.001376575,,Zooplankton,6.881773916
4831,4,5,Invertebrate,Decapoda,Orconectes virilis,2.999853181,5.487821793,,Benthos,1.829363459
2041,4,5,Invertebrate,Diplostraca,Eubosmina coregoni,3.64e-05,0.000909913,,Zooplankton,24.99760989
2042,4,5,Invertebrate,Diplostraca,Eurycercus lamellatus,0.000200032,0.001567834,,Zooplankton,7.837915933
263,4,5,Invertebrate,Diplostraca,Eurycercus longirostris,7.135e-05,0.003984541,,Zooplankton,55.8450035
565,4,5,Invertebrate,Diplostraca,Pleuroxus denticulatis,2.27e-05,0.001441677,,Zooplankton,63.51
2049,4,5,Invertebrate,Diptera,Ablabesmyia monilis,0.001260085,0.011473608,,Benthos,9.10542384
78,4,5,Invertebrate,Diptera,Bactrocera cucurbitae,0.043666667,1.115683333,,Insect,25.5499998
79,4,5,Invertebrate,Diptera,Bactrocera dorsalis,0.0238,0.78183,,Insect,32.85
2065,4,5,Invertebrate,Diptera,Bactrocera latifrons,0.013866667,0.60736,,Insect,43.79999895
2066,4,5,Invertebrate,Diptera,Ceratitis capitata,0.003933333,0.30149,,Insect,76.6500065
2067,4,5,Invertebrate,Diptera,Chaoborus punctinatus,0.000460045,0.002581666,,Benthos,5.611768414
2068,4,5,Invertebrate,Diptera,Chironomidae ,0.016319243,0.093929065,,Benthos,5.755724392
2069,4,5,Invertebrate,Diptera,Chironomus ,0.014890182,0.767361489,,Benthos,51.53472866
165,4,5,Invertebrate,Diptera,Chironomus anthracinus,0.019998619,0.055449802,,Benthos,2.772681554
2073,4,5,Invertebrate,Diptera,Chironomus commutatus,0.01,0.014665606,,Benthos,1.4665606
2074,4,5,Invertebrate,Diptera,Chironomus decorus,0.005300294,0.297235036,,Benthos,56.07897147
2075,4,5,Invertebrate,Diptera,Chironomus islandicus,0.600067354,0.858222705,,Benthos,1.430210624
166,4,5,Invertebrate,Diptera,Chironomus plumosus,0.044004795,0.280801873,,Benthos,6.381165348
2078,4,5,Invertebrate,Diptera,Chironomus sp,0.060911599,2.180720469,,Benthos,35.80139916
2079,4,5,Invertebrate,Diptera,Cladotanytarsus ,2.14e-05,0.001535324,,Benthos,71.74411215
2080,4,5,Invertebrate,Diptera,Cryptochironomus ,0.000117761,0.010087882,,Benthos,85.66403139
2081,4,5,Invertebrate,Diptera,Drosophila melanogaster,0.001366667,0.184568333,,Insect,135.0499668
2082,4,5,Invertebrate,Diptera,Glyptotendipes ,0.035999793,0.088186072,,Benthos,2.449627196
2083,4,5,Invertebrate,Diptera,Glyptotendipes paripes,0.00336047,0.01990215,,Benthos,5.922430493
2084,4,5,Invertebrate,Diptera,Harnischia curtilamellata,0.000257454,0.000950605,,Benthos,3.692329504
2085,4,5,Invertebrate,Diptera,Heterotrissoclad ,0.002999853,0.002473432,,Benthos,0.824517735
2086,4,5,Invertebrate,Diptera,Lauterbornia ,0.005000345,0.021154365,,Zooplankton,4.23058109
2087,4,5,Invertebrate,Diptera,Limnochironomus ,0.002000322,0.008055639,,Benthos,4.027171125
2088,4,5,Invertebrate,Diptera,Limnochironomus pulsus,0.003480166,0.021266695,,Benthos,6.110827759
2089,4,5,Invertebrate,Diptera,Microtendipes sp.,0.007800097,0.045123211,,Benthos,5.78495511
2090,4,5,Invertebrate,Diptera,Orthocladius ,0.001995262,0.006776415,,Benthos,3.396253224
2091,4,5,Invertebrate,Diptera,Parachironomus mancus,0.001116092,0.00613762,,Benthos,5.499206159
2092,4,5,Invertebrate,Diptera,Polypedilum ,0.004000369,0.017930814,,Benthos,4.482290009
2093,4,5,Invertebrate,Diptera,Procladius barbatus,0.019230917,0.046795059,,Benthos,2.43332437
575,4,5,Invertebrate,Diptera,Procladius choreus,0.005480245,0.03593354,,Benthos,6.556922181
2096,4,5,Invertebrate,Diptera,Procladius crassinervis,0.009482001,0.020615791,,Benthos,2.174202576
2097,4,5,Invertebrate,Diptera,Procladius freemani,0.000549541,0.002055417,,Benthos,3.740243221
2098,4,5,Invertebrate,Diptera,Procladius simplicistylus,0.01314014,0.031937433,,Benthos,2.430524561
2099,4,5,Invertebrate,Diptera,Procladius sp.,0.007899507,0.421211287,,Benthos,53.32121194
2100,4,5,Invertebrate,Diptera,Psectrocladius sordidellus,0.003981072,0.006576578,,Benthos,1.651961582
2101,4,5,Invertebrate,Diptera,Pseudodiamesa ,0.01,0.023911124,,Zooplankton,2.3911124
2102,4,5,Invertebrate,Diptera,Psilotanypus ruforittatus,0.00336047,0.010894317,,Benthos,3.24190277
2103,4,5,Invertebrate,Diptera,Psilotanypus rufovittatus,0.001860373,0.019651694,,Benthos,10.56330854
2104,4,5,Invertebrate,Diptera,Stempellina ,2.55e-07,2.77e-05,,Benthos,108.627451
2105,4,5,Invertebrate,Diptera,Stictochironomus rosens,0.006325575,0.018071741,,Benthos,2.856932532
2106,4,5,Invertebrate,Diptera,Stomoxys calcitrans,0.0238,2.17175,,Insect,91.25
2107,4,5,Invertebrate,Diptera,Tanytarsus barbitarsus,0.001,0.008228108,,Benthos,8.228108
2108,4,5,Invertebrate,Diptera,Tanytarsus gracilensis,0.024997697,0.125979535,,Benthos,5.039645652
2109,4,5,Invertebrate,Diptera,Tanytarsus holochlorus,0.002320064,0.014979593,,Benthos,6.456543009
2110,4,5,Invertebrate,Diptera,Tanytarsus inopertus,0.001164126,0.006231606,,Benthos,5.35303395
2111,4,5,Invertebrate,Diptera,Tanytarsus lugens,0.001776233,0.01331987,,Benthos,7.498942988
2112,4,5,Invertebrate,Diptera,Tanytarsus sp,1.35e-05,0.001454119,,Benthos,107.7125185
2113,4,5,Invertebrate,Diptera,Trissocladius ,0.001,0.001764412,,Benthos,1.764412
2114,4,5,Invertebrate,Diptera,Zavrelimyia melanura,0.003981072,0.006153185,,,1.545610077
2115,4,5,Invertebrate,Ephemeroptera,Brachycercus sp.,0.005799626,0.040068215,,Benthos,6.908758427
2116,4,5,Invertebrate,Ephemeroptera,Hexagenia limbata,0.180011396,0.562600353,,Benthos,3.125359647
272,4,5,Invertebrate,Flosculariaceae,Filinia pejleri,2.5e-07,2.16e-05,,Zooplankton,86.4
273,4,5,Invertebrate,Flosculariaceae,Filinia terminalis,2.5e-07,2.774e-05,,Zooplankton,110.96
2127,4,5,Invertebrate,Haplotaxida,Limnodrilus spp.,0.004588809,0.057200523,,Benthos,12.46522202
2128,4,5,Invertebrate,Haplotaxida,Potamothrix hammoniensis,0.001100019,0.00108019,,Benthos,0.981973948
2129,4,5,Invertebrate,Haplotaxida,Tubificidae ,0.002891346,0.032764233,,Benthos,11.33182711
2130,4,5,Invertebrate,Hemiptera,Acyrthosiphon kondoi,0.001333333,0.165466667,,Insect,124.1000313
2131,4,5,Invertebrate,Hemiptera,Acyrthosiphon pisum,0.0024,0.28908,,Insect,120.45
2132,4,5,Invertebrate,Hemiptera,Aphis citricola,0.000466667,0.074946667,,Insect,160.599886
2133,4,5,Invertebrate,Hemiptera,Aphis gossypii,4e-04,0.05986,,Insect,149.65
2134,4,5,Invertebrate,Hemiptera,Aphis nasturtii,0.000266667,0.03212,,Insect,120.4498494
2135,4,5,Invertebrate,Hemiptera,Bemisia argentifolia,0.000366667,0.026766667,,Insect,72.99993455
2136,4,5,Invertebrate,Hemiptera,Brevicoryne brassicae,3e-04,0.016425,,Insect,54.75
2137,4,5,Invertebrate,Hemiptera,Clavigralla shadabi,0.053,3.0952,,Insect,58.4
2138,4,5,Invertebrate,Hemiptera,Clavigralla tomentosicollis,0.053,2.90175,,Insect,54.75
208,4,5,Invertebrate,Hemiptera,Dactylopius austrinus,0.025,1.33225,,Insect,53.29
2147,4,5,Invertebrate,Hemiptera,Diaphorina citri,0.002566667,0.187366667,,Insect,72.99999065
2148,4,5,Invertebrate,Hemiptera,Drepanosiphum acerinum,9e-04,0.05256,,Insect,58.4
2149,4,5,Invertebrate,Hemiptera,Drepanosiphum platanoids,0.0017,0.06205,,Insect,36.5
2150,4,5,Invertebrate,Hemiptera,Eriosoma lanigerum,4e-04,0.02774,,Insect,69.35
2151,4,5,Invertebrate,Hemiptera,Hyadaphis pseudobrassicae,0.000466667,0.063023333,,Insect,135.0499028
2152,4,5,Invertebrate,Hemiptera,Hyperomyzus lactucae,6e-04,0.04818,,Insect,80.3
2153,4,5,Invertebrate,Hemiptera,Macrolophus pygmaeus,0.002166667,0.079083333,,Insect,36.49999423
2154,4,5,Invertebrate,Hemiptera,Macrosiphum euphorbiae,0.001933333,0.155246667,,Insect,80.30001402
2155,4,5,Invertebrate,Hemiptera,Myzus persicae,7e-04,0.074095,,Insect,105.85
2156,4,5,Invertebrate,Hemiptera,Planococcus pacificus,0.002,0.1095,,Insect,54.75
2157,4,5,Invertebrate,Hemiptera,Rhopalosiphum rufiabdominalis,0.000533333,0.085653333,,Insect,160.6000998
2158,4,5,Invertebrate,Hemiptera,Saccharicoccus sacchari,0.013133333,0.71905,,Insect,54.75000139
2159,4,5,Invertebrate,Hemiptera,Sitobion fragariae,8e-04,0.00876,,Insect,10.95
2160,4,5,Invertebrate,Hemiptera,Sitobion miscanthi,7e-04,0.07154,,Insect,102.2
2161,4,5,Invertebrate,Hemiptera,Toxoptera citricidusaurantium,0.0018,0.09855,,Insect,54.75
2162,4,5,Invertebrate,Heterobranchia,Valvata tricarinata,5.823713479,50.22269342,,Benthos,8.623826292
2163,4,5,Invertebrate,Hymenoptera,Amitus fuscipennis,0.000233333,0.019588333,,Insect,83.9501185
3718,4,5,Invertebrate,Hymenoptera,Anisopteromalus calandrae,0.00058,0.0516548,,Insect,89.06
2168,4,5,Invertebrate,Hymenoptera,Aphelinus semiflavus,2e-04,0.02482,,Insect,124.1
2169,4,5,Invertebrate,Hymenoptera,Cotesia flavipes,0.002033333,0.118746667,,Insect,58.40000974
2170,4,5,Invertebrate,Hymenoptera,Cotesia plutellae,0.003733333,0.381546667,,Insect,102.2000092
2171,4,5,Invertebrate,Hymenoptera,Cotesia sesamiae,0.002033333,0.081638333,,Insect,40.15000642
2172,4,5,Invertebrate,Hymenoptera,Muscidifurax raptor,4e-04,0.03504,,Insect,87.6
2173,4,5,Invertebrate,Hymenoptera,Muscidifurax raptorellus,0.000433333,0.033215,,Insect,76.65005896
2174,4,5,Invertebrate,Hymenoptera,Muscidifurax zaraptor,8e-04,0.06132,,Insect,76.65
2175,4,5,Invertebrate,Hymenoptera,Praon palitans,0.002233333,0.203791667,,Insect,91.25001377
2176,4,5,Invertebrate,Hymenoptera,Trichogramma pretiosum,0.000333333,0.023116667,,Insect,69.35007035
2177,4,5,Invertebrate,Hymenoptera,Trichomalopsis sarcophagae,0.002033333,0.141011667,,Insect,69.35001153
2178,4,5,Invertebrate,Hymenoptera,Trioxys utilis,0.002533333,0.44384,,Insect,175.2000231
2179,4,5,Invertebrate,Hymenoptera,Uscana lariophaga,0.000133333,0.022873333,,Insect,171.5504264
2180,4,5,Invertebrate,Isopoda,Asellus aquaticus,0.560015439,2.632085544,,Benthos,4.700023179
2181,4,5,Invertebrate,Isopoda,Asellus obtusus,1.863802972,12.17026402,,Benthos,6.52980181
2182,4,5,Invertebrate,Lepidoptera,Anagasta kuehniella,0.024433333,0.980998333,,Insect,40.15000053
2183,4,5,Invertebrate,Lepidoptera,Chilo partellus,0.101666667,4.081916667,,Insect,40.14999987
2184,4,5,Invertebrate,Lepidoptera,Diatraea lineolata,0.050666667,0.924666667,,Insect,18.24999989
2471,4,5,Invertebrate,Lepidoptera,Epiphyas postvittana,0.0202,0.928998,,Insect,45.99
2189,4,5,Invertebrate,Lepidoptera,Plutella xylostella,0.005833333,0.702625,,Insect,120.4500069
2190,4,5,Invertebrate,Megaloptera,Sialis lutaria,0.150003019,0.202115677,,Benthos,1.347410728
2191,4,5,Invertebrate,Mysida,Neomysis integer,0.065871871,0.26345109,,Zooplankton,3.999447503
2192,4,5,Invertebrate,Neotaenioglossa,Amnicola limosa,1.53815464,31.03844819,,Benthos,20.17901671
2193,4,5,Invertebrate,Plioma,Brachionus dimidiatus,2.2e-07,2.99e-05,,Zooplankton,135.9090909
2194,4,5,Invertebrate,Plioma,Brachionus plicatilis,2.4e-06,0.000657961,,Zooplankton,274.1504167
2195,4,5,Invertebrate,Ploima,Keratella cochlearis,8.94e-07,4.15e-06,,Zooplankton,4.642058166
65,4,5,Invertebrate,Ploimida,Asplanchna ,8.94e-07,9.89e-05,,Zooplankton,110.6263982
66,4,5,Invertebrate,Ploimida,Asplanchna priodonta,8.94e-07,5.81e-05,,Zooplankton,64.98881432
2200,4,5,Invertebrate,Rhynchobdellida,Helobdella stagnalis,0.01,0.034801663,,Benthos,3.4801663
2201,4,5,Invertebrate,Sorbeoconcha,Cleopatra ,0.603948629,1.570362804,,Benthos,2.600159564
2202,4,5,Invertebrate,Sorbeoconcha,Melania ,0.132129563,0.581433432,,Benthos,4.40047949
2203,4,5,Invertebrate,Thysanoptera,Frankliniella fusca,3.33e-05,0.001946667,,Insect,58.45846847
2204,4,5,Invertebrate,Thysanoptera,Scirtothrips perseae,1e-05,0.0004015,,Insect,40.15
2205,4,5,Invertebrate,Thysanoptera,Thrips tabaci,6.67e-05,0.009976667,,Insect,149.5752174
2206,4,5,Invertebrate,Trichoptera,Tinodes waeneri,0.029998532,0.846447448,,Benthos,28.21629565
2207,4,5,Invertebrate,Unknown,Criptocopus ornatus,0.006325575,0.039810717,,,6.293612359
2208,4,5,Invertebrate,Veneroida,Corbicula ,0.126182753,0.315500462,,Benthos,2.500345368
2209,4,5,Invertebrate,Veneroida,Pisidium casertanum,0.012600855,0.012094836,,Benthos,0.959842487
2210,4,5,Invertebrate,Veneroida,Pisidium conventus,0.008800351,0.008978422,,Benthos,1.020234534
2211,4,5,Invertebrate,Veneroida,Pisidium sp.,0.010495424,0.015900105,,Benthos,1.514955947
2212,4,5,Invertebrate,Veneroida,Pisidium spp,0.184331688,3.977406691,,Benthos,21.57744409
2373,5,7,Bird,Accipitriformes,Accipiter badius,131.2199899,58.07644175,,Non passerine,0.442588372
2374,5,7,Bird,Accipitriformes,Accipiter brevipes,186.6379691,85.3100114,,Non passerine,0.45708819
1,5,7,Bird,Accipitriformes,Accipiter cooperii,526.64,275,,Non passerine,0.522178338
2,5,7,Bird,Accipitriformes,Accipiter gentilis,1044.2,614,,Non passerine,0.58800996
2379,5,7,Bird,Accipitriformes,Accipiter melanoleucus,698.2324041,139.9587323,,Non passerine,0.200447203
3101,5,7,Bird,Accipitriformes,Accipiter nisus,290,2531.834131,,Non passerine,8.730462521
4100,5,7,Bird,Accipitriformes,Accipiter striatus,135,91.5,,Non passerine,0.677777778
2384,5,7,Bird,Accipitriformes,Aegypius monachus,9311.078755,242.6610095,,Non passerine,0.026061535
5210,5,7,Bird,Accipitriformes,Aquila chrysaetos,4800,1330,,Non passerine,0.277083333
2387,5,7,Bird,Accipitriformes,Aquila clanga,2152.781735,219.7859873,,Non passerine,0.102093948
2388,5,7,Bird,Accipitriformes,Aquila heliaca,3126.079367,324.3396173,,Non passerine,0.103752842
2389,5,7,Bird,Accipitriformes,Aquila pomarina,1358.313447,173.7800829,,Non passerine,0.12793813
2390,5,7,Bird,Accipitriformes,Aquila rapax,2233.572223,236.5919697,,Non passerine,0.105925372
2391,5,7,Bird,Accipitriformes,Aquila verreauxii,4197.58984,274.1574172,,Non passerine,0.065313055
2392,5,7,Bird,Accipitriformes,Aquila wahlbergi,639.7348355,72.94575103,,Non passerine,0.114024979
2393,5,7,Bird,Accipitriformes,Buteo buteo,758.577575,161.0645635,,Non passerine,0.212324446
2394,5,7,Bird,Accipitriformes,Buteo hemilasius,1358.313447,223.3572223,,Non passerine,0.164437172
108,5,7,Bird,Accipitriformes,Buteo jamaicensis,1362,624,,Non passerine,0.45814978
109,5,7,Bird,Accipitriformes,Buteo lagopus,980.64,560,,Non passerine,0.571055637
110,5,7,Bird,Accipitriformes,Buteo lineatus,643,2218.35,,Non passerine,3.45
1111,5,7,Bird,Accipitriformes,Buteo platypterus,454,244,,Non passerine,0.537444934
2404,5,7,Bird,Accipitriformes,Buteo regalis,1500,687,,Non passerine,0.458
2405,5,7,Bird,Accipitriformes,Buteo rufinus,1166.809617,206.5380156,,Non passerine,0.177010896
2406,5,7,Bird,Accipitriformes,Buteo rufofuscus,1531.087462,136.1444682,,Non passerine,0.088920112
2407,5,7,Bird,Accipitriformes,Buteo swainsoni,980.64,449,,Non passerine,0.457864252
2408,5,7,Bird,Accipitriformes,Buteogallus anthracinus,837,267,,Non passerine,0.318996416
140,5,7,Bird,Accipitriformes,Cathartes aura,2200,311,,Non passerine,0.141363636
2411,5,7,Bird,Accipitriformes,Circaetus gallicus,1698.243652,135.8313447,,Non passerine,0.079983426
2412,5,7,Bird,Accipitriformes,Circus aeruginosus,704.693069,167.8804018,,Non passerine,0.238231947
173,5,7,Bird,Accipitriformes,Circus cyaneus,392,278,,Non passerine,0.709183673
2415,5,7,Bird,Accipitriformes,Circus macrourus,384.591782,125.3141175,,Non passerine,0.325836701
