"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Mortality_per_yr","Trophic","Group","Lifespan_yr"
"239",1,1,"Mammal","Artiodactyla","Tragelaphus scriptus",60000,0.163398693,"Herbivore","Eutherian",6.1199999929008
"240",1,1,"Mammal","Artiodactyla","Tragelaphus spekii",87500,0.110619469,"Herbivore","Eutherian",9.0400000021696
"241",1,1,"Mammal","Artiodactyla","Tragelaphus strepsiceros",217500,0.106382979,"Herbivore","Eutherian",9.39999997556
"242",1,1,"Mammal","Artiodactyla","Tragulus javanicus",2850,0.178571429,"Herbivore","Eutherian",5.59999998656
"243",1,1,"Mammal","Artiodactyla","Tragulus napu",6500,0.149700599,"Herbivore","Eutherian",6.6799999911824
"244",1,1,"Mammal","Artiodactyla","Vicugna pacos",62000,0.096899225,"Herbivore","Eutherian",10.31999997936
"203",1,1,"Mammal","Artiodactyla","Vicugna vicugna",48750,0.103056962,"Herbivore","Eutherian",9.70337161695102
"1",1,2,"Mammal","Carnivora","Acinonyx jubatus",51166.6666666667,0.16798374,"Carnivore","Eutherian",5.9529571135873
"100",1,1,"Mammal","Carnivora","Ailuropoda melanoleuca",118750,0.0824673915,"Herbivore","Eutherian",12.1260049797986
"2",1,2,"Mammal","Carnivora","Ailurus fulgens",3912.5,0.1567894735,"Carnivore","Eutherian",6.37797919514029
"254",1,2,"Mammal","Carnivora","Alopex lagopus",3450,0.256,"Carnivore","Eutherian",3.90625
"255",1,2,"Mammal","Carnivora","Aonyx capensis",23500,0.176056338,"Carnivore","Eutherian",5.6800000009088
"256",1,2,"Mammal","Carnivora","Aonyx cinereus",3000,0.108695652,"Carnivore","Eutherian",9.20000001472
"3",1,2,"Mammal","Carnivora","Arctictis binturong",11875,0.1167962965,"Carnivore","Eutherian",8.56191531723782
"259",1,2,"Mammal","Carnivora","Arctocephalus australis",110000,0.081699346,"Carnivore","Eutherian",12.2400000607104
"260",1,2,"Mammal","Carnivora","Arctocephalus galapagoensis",27000,0.115,"Carnivore","Eutherian",8.69565217391304
"4",1,2,"Mammal","Carnivora","Arctocephalus gazella",97500,0.153,"Carnivore","Eutherian",6.5359477124183
"5",1,2,"Mammal","Carnivora","Arctocephalus pusillus",153275.5,0.10944081,"Carnivore","Eutherian",9.13735927210334
"6",1,2,"Mammal","Carnivora","Arctogalidia trivirgata",2250,0.1841397515,"Carnivore","Eutherian",5.43065792070432
"267",1,2,"Mammal","Carnivora","Arctonyx collaris",10500,0.158227848,"Carnivore","Eutherian",6.3200000040448
"268",1,2,"Mammal","Carnivora","Atelocynus microtis",9500,0.210084034,"Carnivore","Eutherian",4.7599999912416
"269",1,2,"Mammal","Carnivora","Atilax paludinosus",3300,0.120192308,"Carnivore","Eutherian",8.3199999787008
"270",1,2,"Mammal","Carnivora","Bassaricyon alleni",1235,0.099206349,"Carnivore","Eutherian",10.0800000209664
"13",1,2,"Mammal","Carnivora","Bassaricyon gabbii",1242.5,0.1098394495,"Carnivore","Eutherian",9.10419712181824
"14",1,2,"Mammal","Carnivora","Bassariscus astutus",1072.5,0.1452894735,"Carnivore","Eutherian",6.882811093675
"15",1,2,"Mammal","Carnivora","Bassariscus sumichrasti",900,0.1070833335,"Carnivore","Eutherian",9.33852138624355
"277",1,2,"Mammal","Carnivora","Bdeogale nigripes",2000,0.158227848,"Carnivore","Eutherian",6.3200000040448
"18",1,2,"Mammal","Carnivora","Callorhinus ursinus",150000,0.0786666666666667,"Carnivore","Eutherian",12.7118644067797
