rmax,interaction_strength_flux
1.008,4.22
1.009,4.226666666666666
1.01,4.233333333333333
1.011,4.239999999999999
1.012,4.246666666666667
1.013,4.253333333333333
1.014,4.260000000000001
1.015,4.266666666666667
1.016,4.273333333333334
1.017,4.28
1.018,4.286666666666666
1.019,4.293333333333332
1.02,4.300000000000001
1.021,4.306666666666667
1.022,4.313333333333334
1.023,4.32
1.024,4.326666666666668
1.025,4.333333333333334
1.026,4.340000000000002
1.027,4.346666666666668
1.028,4.3533333333333335
1.029,4.359999999999999
1.03,4.366666666666667
1.031,4.373333333333333
1.032,4.380000000000001
1.033,4.386666666666667
1.034,4.393333333333334
1.035,4.4
1.036,4.406666666666668
1.037,4.413333333333334
1.038,4.42
1.039,4.426666666666666
1.04,4.433333333333334
1.041,4.4399999999999995
1.042,4.446666666666667
1.043,4.453333333333333
1.044,4.460000000000001
1.045,4.466666666666667
1.046,4.4733333333333345
1.047,4.48
1.048,4.486666666666666
1.049,4.493333333333332
1.05,4.500000000000001
